TimeUS,I,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U,t_s
2520229604,0,3,397626799,2382,13,0.79,41.6066901,-86.3560414,240.95000000000002,0.03701351210474968,308.4180603027344,1.3220000267028809,0.0,0,2520.23
2520229671,1,3,397626799,2382,13,0.79,41.606700499999995,-86.3560512,238.84,0.14204224944114685,147.6525421142578,1.2790000438690186,0.0,1,2520.23
2520429634,0,3,397626999,2382,13,0.79,41.606690199999996,-86.35604149999999,240.66,0.06806614995002747,177.473876953125,1.340000033378601,0.0,0,2520.43
2520429665,1,3,397626999,2382,13,0.79,41.6067002,-86.356051,238.6,0.1828797608613968,141.43804931640625,1.1330000162124634,0.0,1,2520.43
2520629703,0,3,397627199,2382,13,0.79,41.6066901,-86.3560416,240.38,0.1038171574473381,187.1934814453125,1.3850001096725464,0.0,0,2520.63
2520629768,1,3,397627199,2382,13,0.79,41.606699899999995,-86.35605079999999,238.37,0.17240940034389496,156.40867614746094,1.1290000677108765,0.0,1,2520.63
2520829710,0,3,397627399,2382,13,0.79,41.6066899,-86.3560416,240.12,0.08354640007019043,168.95904541015625,1.4520000219345093,0.0,0,2520.83
2520829723,1,3,397627399,2382,13,0.79,41.6066996,-86.3560507,238.1,0.10358572006225586,139.69866943359375,1.218000054359436,0.0,1,2520.83
2521029707,0,3,397627599,2382,13,0.79,41.6066899,-86.35604169999999,239.81,0.0150332972407341,3.814074754714966,1.3930000066757202,0.0,0,2521.03
2521029720,1,3,397627599,2382,13,0.79,41.6066995,-86.35605079999999,237.8,0.09002777934074402,319.0535583496094,1.281000018119812,0.0,1,2521.03
2521229668,0,3,397627799,2382,13,0.79,41.6066899,-86.3560419,239.51,0.047423623502254486,312.43621826171875,1.3470001220703125,0.0,0,2521.23
2521229681,1,3,397627799,2382,13,0.79,41.6066997,-86.356051,237.52,0.17288435995578766,321.3401794433594,1.3000000715255737,0.0,1,2521.23
2521429587,0,3,397627999,2382,13,0.79,41.60669,-86.356042,239.23000000000002,0.03801315650343895,26.56505012512207,1.5040000677108765,0.0,0,2521.43
2521429602,1,3,397627999,2382,13,0.79,41.6066998,-86.3560512,237.22,0.012369317002594471,104.0362319946289,1.4220000505447388,0.0,1,2521.43
2521629672,0,3,397628199,2382,13,0.79,41.60669,-86.35604219999999,238.89000000000001,0.10754068940877914,239.85861206054688,1.471000075340271,0.0,0,2521.63
2521629685,1,3,397628199,2382,13,0.79,41.6066997,-86.35605129999999,236.89000000000001,0.023345235735177994,226.73570251464844,1.53000009059906,0.0,1,2521.63
