TimeUS,ThI,ABst,ThO,ThH,DAlt,Alt,BAlt,DSAlt,SAlt,TAlt,DCRt,CRt,t_s
59182942,-2.682209014892578e-07,-3.694822225952521e-10,0.0,0.17597077786922455,0.015384326688945293,0.015384326688945293,0.48,nan,0.0,nan,-3,-3,59.183
59282955,-2.682209014892578e-07,-3.6970959627069533e-10,0.0,0.17597077786922455,0.015943001955747604,0.015943001955747604,0.75,nan,0.0,nan,-3,-3,59.283
59382996,-2.682209014892578e-07,-3.6916958379151765e-10,0.0,0.17597077786922455,0.013733039610087872,0.013733039610087872,0.58,nan,0.0,nan,-2,-2,59.383
59482978,-2.682209014892578e-07,-3.6837377592746634e-10,0.0,0.17597077786922455,0.010827015154063702,0.010827015154063702,0.75,nan,0.0,nan,-3,-3,59.483
59583074,-2.682209014892578e-07,-3.688285232783528e-10,0.0,0.17597077786922455,0.009995829313993454,0.009995829313993454,0.72,nan,0.0,nan,-3,-3,59.583
59682944,-2.682209014892578e-07,-3.694538008858217e-10,0.0,0.17597077786922455,0.008238982409238815,0.008238982409238815,0.6,nan,0.0,nan,-2,-2,59.683
59782963,-2.682209014892578e-07,-3.680895588331623e-10,0.0,0.17597077786922455,0.00851447507739067,0.00851447507739067,0.8200000000000001,nan,0.0,nan,-2,-2,59.783
59882878,-2.682209014892578e-07,-3.680895588331623e-10,0.0,0.17597077786922455,0.007526170462369919,0.007526170462369919,0.64,nan,0.0,nan,-2,-2,59.883
59982877,-2.682209014892578e-07,-3.68771679859492e-10,0.0,0.17597077786922455,0.006618093699216843,0.006618093699216843,0.78,nan,0.0,nan,-2,-2,59.983
60082883,-2.682209014892578e-07,-3.6845904105575755e-10,0.0,0.17597077786922455,0.005833398550748825,0.005833398550748825,0.8200000000000001,nan,0.0,nan,-2,-2,60.083
60182882,-2.682209014892578e-07,-3.6780534173885826e-10,0.0,0.17597077786922455,0.0059260837733745575,0.0059260837733745575,0.55,nan,0.0,nan,-2,-2,60.183
