TimeUS,Instance,Volt,VoltR,Curr,CurrTot,EnrgTot,Temp,Res,RemPct,t_s
56282788,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,56.283
56282807,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,56.283
56382846,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,56.383
56382866,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,56.383
56482742,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,56.483
56482760,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,56.483
56582753,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,56.583
56582773,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,56.583
56682783,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,56.683
56682802,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,56.683
56782779,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,56.783
56782797,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,56.783
56882812,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,56.883
56882829,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,56.883
56982773,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,56.983
56982824,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,56.983
57082765,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,57.083
57082782,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,57.083
57182755,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,57.183
57182777,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,57.183
57282773,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,57.283
57282796,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,57.283
57382737,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,57.383
57382790,1,48.8125,0.0,-0.0,2364.531494140625,105.0,23.1,0.0,85,57.383
57482813,0,48.8125,0.0,-0.0,2409.57080078125,107.0,25.1,0.0,85,57.483
